,userId,movieId,rating,timestamp,Recommendation,Precision,Recall,Accuracy,Evaluation
27,142,3000,5.0,1490326135,"[5618, 5971, 31658, 7099, 6350, 26662, 5690, 741]",1.0,0.375,0.375,"[2, 0, 2, 2, 0, 0, 0, 0]"
28,145,1194,5.0,1259725208,"[3040, 2109, 4834, 4415, 441, 2416, 1135, 1663]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
29,155,6016,5.0,1196554887,"[2959, 4226, 7361, 2329, 3949, 4973, 48516, 6874]",0.8571428571428571,0.8571428571428571,0.875,"[2, 2, 2, 2, 1, 0, 2, 2]"
30,159,7753,5.0,1214887817,"[69374, 47196, 41812, 85369, 41596, 125507, 82235, 87598]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,164,5377,5.0,1123459463,"[4246, 6942, 6218, 5299, 3481, 3897, 5991, 4014]",1.0,0.75,0.75,"[2, 2, 2, 0, 2, 2, 0, 2]"
32,170,318,5.0,1431778726,"[296, 593, 356, 527, 50, 2571, 110, 47]",1.0,0.125,0.125,"[0, 0, 0, 0, 2, 0, 0, 0]"
33,171,6796,5.0,1074591659,"[4262, 5669, 4034, 4776, 6870, 4007, 5954, 1673]",1.0,0.75,0.75,"[2, 2, 2, 2, 2, 0, 0, 2]"
34,180,122882,5.0,1454267068,"[115713, 109487, 134130, 112852, 99114, 111759, 122904, 91529]",1.0,0.75,0.75,"[2, 2, 2, 0, 2, 2, 0, 2]"
35,184,7254,5.0,1164830117,"[8644, 6365, 44191, 6934, 6373, 5989, 56174, 6874]",0.5,0.3333333333333333,0.5,"[1, 2, 0, 2, 0, 1, 0, 0]"
36,190,34,5.0,943066436,"[595, 588, 150, 364, 500, 590, 457, 592]",1.0,0.5,0.5,"[2, 2, 2, 0, 0, 2, 0, 0]"
37,192,34405,5.0,1227128464,"[68358, 33794, 44191, 59315, 8874, 5903, 48774, 7153]",1.0,0.125,0.125,"[0, 0, 0, 2, 0, 0, 0, 0]"
38,197,594,5.0,1144647793,"[596, 1022, 595, 1029, 364, 588, 1028, 2096]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
39,200,34,5.0,854811328,"[595, 588, 150, 364, 500, 590, 457, 592]",1.0,0.125,0.125,"[0, 0, 0, 0, 2, 0, 0, 0]"
40,202,5445,5.0,1193230111,"[5349, 4963, 5418, 4993, 5952, 3793, 6539, 6365]",0.3333333333333333,0.16666666666666666,0.375,"[0, 1, 0, 2, 0, 0, 1, 0]"
41,203,2427,5.0,1252799692,"[2890, 1090, 1222, 2278, 1208, 2028, 1263, 1617]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
42,204,112552,5.0,1426008551,"[109487, 112556, 112183, 115569, 106920, 116797, 106782, 109374]",1.0,0.5,0.5,"[2, 0, 2, 0, 0, 2, 0, 2]"
43,205,593,5.0,832882995,"[296, 318, 356, 47, 50, 527, 480, 457]",0.3333333333333333,0.16666666666666666,0.375,"[1, 0, 0, 1, 0, 0, 0, 2]"
44,211,1704,5.0,1354956436,"[2028, 2762, 2571, 1682, 318, 2858, 2959, 1961]",1.0,0.5,0.5,"[2, 0, 0, 2, 2, 0, 0, 2]"
45,216,1197,5.0,1020009758,"[1198, 1196, 1136, 260, 1270, 1291, 1265, 2918]",1.0,0.75,0.75,"[2, 2, 0, 2, 2, 0, 2, 2]"
46,218,2762,5.0,1220135153,"[2571, 2858, 2028, 3578, 2959, 1270, 4993, 1704]",1.0,0.25,0.25,"[2, 0, 2, 0, 0, 0, 0, 0]"
47,219,356,5.0,1514095940,"[480, 318, 593, 296, 110, 589, 527, 150]",1.0,0.125,0.125,"[0, 2, 0, 0, 0, 0, 0, 0]"
48,231,431,5.0,836745154,"[16, 6, 1466, 555, 428, 47, 1213, 4262]",0.5,0.3333333333333333,0.5,"[2, 1, 0, 1, 0, 2, 0, 0]"
49,245,296,5.0,944934736,"[593, 318, 47, 50, 356, 2959, 1089, 608]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
50,246,8376,5.0,1553433744,"[8641, 8528, 6863, 4816, 6936, 35836, 54503, 34162]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
51,255,858,5.0,1124671515,"[1221, 1213, 1193, 296, 260, 1198, 2571, 318]",1.0,0.5,0.5,"[2, 0, 0, 2, 2, 0, 0, 2]"
52,262,357,5.0,838092745,"[539, 597, 587, 500, 377, 440, 509, 590]",0.5,1.0,1.0,"[1, 1, 2, 1, 2, 1, 2, 2]"
53,267,99114,5.0,1375907005,"[68157, 91529, 106782, 79132, 109487, 74458, 122882, 58559]",1.0,0.5,0.5,"[2, 2, 0, 2, 0, 0, 0, 2]"
54,270,1259,5.0,953001051,"[2918, 1968, 1097, 1307, 1270, 1197, 1265, 1079]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
55,280,3967,5.0,1028729305,"[4246, 4014, 5377, 4308, 3408, 6218, 3897, 4973]",1.0,0.375,0.375,"[0, 0, 0, 0, 2, 0, 2, 2]"
56,295,2959,5.0,1323144442,"[2571, 4226, 2858, 4993, 296, 2329, 7153, 6874]",1.0,0.125,0.125,"[0, 0, 0, 0, 0, 2, 0, 0]"
57,304,58,5.0,939035810,"[17, 265, 36, 52, 25, 1183, 509, 515]",0.6666666666666666,0.2857142857142857,0.375,"[2, 0, 0, 0, 2, 0, 1, 0]"
58,305,1285,5.0,1401800259,"[1394, 1079, 1288, 1259, 2248, 1968, 2144, 1307]",1.0,0.25,0.25,"[2, 0, 2, 0, 0, 0, 0, 0]"
59,307,7153,5.0,1114368987,"[5952, 4993, 2571, 6539, 58559, 33794, 2959, 6377]",1.0,0.25,0.25,"[2, 0, 0, 0, 0, 0, 2, 0]"
60,314,457,5.0,843572769,"[380, 377, 480, 150, 592, 349, 589, 590]",0.6,0.5,0.625,"[0, 0, 2, 2, 1, 2, 0, 1]"
61,317,4340,5.0,1072861410,"[5942, 3979, 4247, 5449, 4368, 3146, 3646, 4890]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
62,318,1288,5.0,1131658999,"[1394, 1136, 1278, 1079, 2791, 1080, 1220, 750]",1.0,0.5,0.5,"[2, 2, 0, 2, 2, 0, 0, 0]"
63,327,108190,5.0,1499174517,"[130490, 114180, 116823, 106487, 135133, 91500, 135141, 106002]",1.0,0.125,0.125,"[0, 2, 0, 0, 0, 0, 0, 0]"
64,332,4027,5.0,1055379536,"[3996, 1732, 4979, 3481, 2997, 4226, 4306, 4963]",0.6666666666666666,0.2857142857142857,0.375,"[2, 0, 0, 0, 1, 0, 2, 0]"
65,337,50,5.0,1389692957,"[296, 318, 47, 593, 608, 1089, 527, 858]",1.0,0.375,0.375,"[2, 2, 0, 0, 0, 0, 2, 0]"
66,344,163,5.0,831824053,"[353, 70, 442, 555, 145, 165, 380, 377]",0.6,0.5,0.625,"[2, 0, 0, 1, 2, 1, 2, 0]"
67,345,1347,5.0,985056809,"[1982, 1974, 1970, 1345, 1994, 1969, 1321, 1350]",1.0,0.625,0.625,"[2, 2, 2, 0, 0, 2, 2, 0]"
68,354,480,5.0,1439737581,"[589, 356, 377, 457, 592, 380, 110, 593]",1.0,0.125,0.125,"[0, 2, 0, 0, 0, 0, 0, 0]"
69,363,380,5.0,841173386,"[592, 165, 457, 377, 349, 153, 150, 480]",0.8571428571428571,0.8571428571428571,0.875,"[2, 2, 2, 0, 2, 1, 2, 2]"
70,381,6377,5.0,1373422901,"[4886, 8961, 4306, 6539, 7153, 5952, 4993, 8360]",1.0,0.375,0.375,"[2, 2, 2, 0, 0, 0, 0, 0]"
71,384,3633,5.0,958504780,"[3639, 3635, 2993, 2989, 3984, 2991, 4005, 3638]",1.0,0.375,0.375,"[2, 2, 0, 0, 0, 0, 0, 2]"
72,385,3134,5.0,944908329,"[6783, 2731, 2732, 3089, 1260, 3742, 2920, 5177]",1.0,0.125,0.125,"[0, 0, 0, 0, 2, 0, 0, 0]"
73,387,260,5.0,961717438,"[1196, 1210, 1198, 2571, 1291, 1270, 1240, 4993]",1.0,0.5,0.5,"[2, 2, 2, 0, 2, 0, 0, 0]"
74,388,736,5.0,1504732946,"[780, 648, 733, 95, 377, 786, 480, 500]",0.5,0.3333333333333333,0.5,"[2, 0, 0, 0, 1, 0, 2, 1]"
75,397,48516,5.0,1465663959,"[48780, 58559, 55820, 68157, 2959, 33794, 79132, 44191]",1.0,0.25,0.25,"[0, 0, 0, 0, 2, 0, 2, 0]"
76,400,932,5.0,920333132,"[915, 933, 916, 900, 914, 902, 898, 911]",1.0,0.25,0.25,"[2, 0, 2, 0, 0, 0, 0, 0]"
77,409,215,5.0,1119642198,"[8638, 100714, 6711, 8981, 112290, 41285, 8949, 7361]",1.0,0.5,0.5,"[2, 0, 0, 2, 0, 0, 2, 2]"
78,419,6874,5.0,1523060351,"[7438, 32587, 2959, 7153, 5952, 4993, 6539, 2571]",1.0,0.875,0.875,"[2, 0, 2, 2, 2, 2, 2, 2]"
79,421,1270,5.0,901016510,"[1196, 1198, 1240, 1210, 2011, 1291, 260, 1265]",0.8,0.5714285714285714,0.625,"[2, 0, 0, 2, 1, 0, 2, 2]"
80,426,1263,5.0,1281844838,"[1208, 1090, 1228, 1222, 111, 1252, 1193, 1266]",0.625,1.0,1.0,"[2, 2, 1, 2, 2, 1, 2, 1]"
81,427,18,5.0,844898641,"[70, 778, 32, 1391, 784, 163, 608, 6]",0.6666666666666666,0.2857142857142857,0.375,"[0, 0, 2, 0, 1, 0, 2, 0]"
82,430,29,5.0,840989152,"[1175, 1199, 1748, 32, 541, 1921, 1206, 1274]",1.0,0.125,0.125,"[0, 0, 0, 2, 0, 0, 0, 0]"
83,446,1247,5.0,1017902031,"[1230, 912, 923, 1219, 1225, 1252, 1193, 904]",1.0,0.75,0.75,"[2, 2, 2, 2, 0, 2, 2, 0]"
84,454,29,5.0,1242851077,"[1175, 1199, 1748, 32, 541, 1921, 1206, 1274]",0.6666666666666666,0.2857142857142857,0.375,"[0, 0, 0, 2, 2, 0, 0, 1]"
85,459,595,5.0,942862456,"[588, 364, 592, 153, 150, 480, 590, 500]",0.6666666666666666,0.6666666666666666,0.75,"[2, 1, 0, 2, 0, 1, 2, 2]"
86,460,130576,5.0,1482751933,"[141866, 152077, 90057, 140267, 143859, 161582, 144976, 140247]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
87,468,2396,5.0,940016203,"[2858, 1307, 1617, 2762, 1784, 1641, 1265, 2997]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
88,469,60069,5.0,1495365978,"[68954, 58559, 50872, 59315, 79132, 72998, 8961, 78499]",0.75,1.0,1.0,"[2, 2, 2, 2, 1, 1, 2, 2]"
89,474,48,5.0,838204208,"[595, 158, 364, 588, 594, 783, 596, 2081]",1.0,0.5,0.5,"[2, 2, 2, 2, 0, 0, 0, 0]"
90,475,6934,5.0,1528719581,"[6365, 8644, 33493, 5378, 6537, 6333, 5445, 5349]",1.0,0.25,0.25,"[2, 2, 0, 0, 0, 0, 0, 0]"
91,484,1073,5.0,857579626,"[1, 919, 1097, 780, 260, 736, 1197, 648]",0.5,0.3333333333333333,0.5,"[2, 0, 0, 2, 0, 1, 0, 1]"
92,485,91128,5.0,1497497565,"[94478, 82202, 69640, 96432, 69951, 86911, 103384, 80219]",1.0,0.125,0.125,"[0, 2, 0, 0, 0, 0, 0, 0]"
93,486,260,5.0,1518546348,"[1196, 1210, 1198, 2571, 1291, 1270, 1240, 4993]",0.5,0.3333333333333333,0.5,"[2, 2, 1, 0, 1, 0, 0, 0]"
94,490,4022,5.0,982373411,"[3578, 5989, 4963, 4995, 4306, 5349, 5445, 2762]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
95,493,2959,5.0,977345514,"[2571, 4226, 2858, 4993, 296, 2329, 7153, 6874]",1.0,0.125,0.125,"[0, 0, 2, 0, 0, 0, 0, 0]"
96,497,260,5.0,1027539571,"[1196, 1210, 1198, 2571, 1291, 1270, 1240, 4993]",0.4,0.4,0.625,"[1, 0, 2, 0, 1, 2, 1, 0]"
97,504,57504,5.0,1372394476,"[64993, 85179, 52885, 101962, 26903, 83132, 65261, 7099]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
98,506,260,5.0,858358829,"[1196, 1210, 1198, 2571, 1291, 1270, 1240, 4993]",1.0,0.125,0.125,"[0, 2, 0, 0, 0, 0, 0, 0]"
99,507,2841,5.0,994021194,"[2840, 3798, 2719, 3005, 3081, 2707, 2710, 2995]",0.25,0.2,0.5,"[0, 0, 0, 2, 0, 1, 1, 1]"
100,515,6331,5.0,1121095817,"[6380, 6620, 6296, 6867, 7139, 7156, 6385, 6299]",0.5,0.14285714285714285,0.25,"[0, 0, 0, 2, 0, 0, 1, 0]"
101,516,52,5.0,849436094,"[348, 25, 36, 58, 708, 141, 45, 608]",0.16666666666666666,0.3333333333333333,0.75,"[1, 1, 1, 0, 1, 2, 0, 1]"
102,517,68954,5.0,1450013362,"[60069, 78499, 50872, 79132, 72998, 58559, 76093, 59315]",0.75,0.42857142857142855,0.5,"[2, 0, 0, 2, 1, 0, 2, 0]"
103,520,858,5.0,1421253285,"[1221, 1213, 1193, 296, 260, 1198, 2571, 318]",0.5,0.3333333333333333,0.5,"[0, 0, 0, 0, 2, 1, 2, 1]"
104,531,48394,5.0,1292743903,"[48774, 4878, 7361, 44191, 55820, 46578, 32587, 60069]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
105,543,58559,5.0,1550089728,"[79132, 33794, 59315, 91529, 7153, 2959, 60069, 68157]",1.0,0.375,0.375,"[2, 0, 2, 0, 2, 0, 0, 0]"
106,547,4546,5.0,1011351238,"[5105, 4754, 7116, 7013, 3683, 3075, 3730, 4037]",1.0,0.125,0.125,"[0, 0, 0, 0, 2, 0, 0, 0]"
107,565,2328,5.0,910433615,"[1655, 2867, 2120, 2107, 2026, 1342, 2279, 879]",1.0,0.25,0.25,"[0, 0, 2, 0, 0, 2, 0, 0]"
108,566,4308,5.0,1106426381,"[5991, 4246, 4306, 4014, 4963, 5299, 4896, 6377]",1.0,0.75,0.75,"[2, 2, 2, 0, 2, 0, 2, 2]"
109,567,6,5.0,1133746018,"[733, 16, 32, 648, 47, 95, 50, 608]",0.875,1.0,1.0,"[2, 2, 2, 1, 2, 2, 2, 2]"
110,570,28,5.0,859836088,"[17, 838, 497, 515, 1296, 534, 412, 265]",0.8,0.5714285714285714,0.625,"[2, 2, 2, 2, 0, 0, 0, 1]"
111,576,541,5.0,843057665,"[1214, 1200, 924, 1240, 1196, 260, 1198, 1206]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
112,577,440,5.0,1518792958,"[539, 11, 587, 454, 357, 500, 457, 597]",1.0,0.125,0.125,"[0, 0, 0, 0, 0, 2, 0, 0]"
113,578,186,5.0,841612205,"[236, 339, 252, 256, 539, 317, 432, 185]",0.8333333333333334,0.7142857142857143,0.75,"[2, 2, 0, 2, 2, 0, 1, 2]"
114,579,8665,5.0,1162682837,"[5418, 54286, 4963, 49272, 33794, 6539, 5445, 5989]",1.0,0.25,0.25,"[2, 2, 0, 0, 0, 0, 0, 0]"
115,583,85774,5.0,1451361457,"[104913, 77455, 89492, 96488, 81932, 93721, 80906, 88129]",1.0,0.125,0.125,"[2, 0, 0, 0, 0, 0, 0, 0]"
116,585,89745,5.0,1392650939,"[112852, 59315, 110102, 91529, 87232, 77561, 88140, 102125]",1.0,0.25,0.25,"[0, 0, 2, 0, 0, 0, 2, 0]"
117,593,134130,5.0,1500904063,"[109487, 122904, 122886, 115713, 111759, 112852, 122882, 79132]",1.0,0.125,0.125,"[0, 0, 0, 0, 0, 0, 0, 2]"
118,594,231,5.0,836177079,"[344, 367, 153, 19, 592, 165, 380, 500]",0.5,0.6,0.75,"[2, 2, 1, 0, 0, 1, 2, 1]"
119,608,6350,5.0,1439867228,"[7099, 5971, 26662, 31658, 3000, 26776, 5690, 5618]",0.875,1.0,1.0,"[2, 2, 2, 1, 2, 2, 2, 2]"
120,609,588,5.0,849022181,"[595, 364, 592, 480, 153, 150, 380, 344]",0.5,1.0,1.0,"[2, 2, 1, 2, 1, 2, 1, 1]"
121,615,2571,5.0,1516744396,"[2959, 4993, 7153, 1196, 5952, 260, 1198, 3578]",0.5,0.14285714285714285,0.25,"[2, 0, 0, 0, 0, 0, 1, 0]"
122,630,7320,5.0,1079634959,"[7375, 7142, 33669, 7169, 8911, 8869, 6549, 8643]",0.3333333333333333,0.16666666666666666,0.375,"[2, 1, 0, 0, 0, 0, 1, 0]"
123,631,442,5.0,833454748,"[173, 485, 316, 380, 165, 589, 377, 434]",1.0,0.625,0.625,"[0, 0, 2, 2, 2, 2, 2, 0]"
124,633,246,5.0,880915110,"[162, 300, 529, 348, 608, 36, 25, 235]",1.0,0.25,0.25,"[0, 0, 0, 0, 0, 2, 2, 0]"
125,637,95,5.0,856082523,"[736, 786, 494, 733, 648, 780, 6, 165]",0.2,0.25,0.625,"[0, 1, 1, 2, 1, 1, 0, 0]"
126,638,231,5.0,833997728,"[344, 367, 153, 19, 592, 165, 380, 500]",0.3333333333333333,0.16666666666666666,0.375,"[0, 0, 1, 0, 1, 0, 2, 0]"
127,639,1300,5.0,919156687,"[1185, 1296, 1132, 1131, 1295, 1264, 1186, 1172]",0.6666666666666666,0.6666666666666666,0.75,"[2, 1, 1, 0, 0, 2, 2, 2]"
128,647,115122,5.0,1510008091,"[152970, 121231, 133771, 140267, 83134, 103341, 158238, 168250]",0.6,0.5,0.625,"[2, 0, 0, 1, 0, 2, 2, 1]"
129,649,3201,5.0,996856936,"[3152, 3200, 1952, 2303, 3093, 3730, 3504, 1964]",1.0,0.25,0.25,"[0, 0, 2, 0, 0, 0, 2, 0]"
130,652,32,5.0,1277026873,"[47, 296, 589, 50, 608, 780, 593, 541]",1.0,0.625,0.625,"[2, 2, 0, 2, 0, 0, 2, 2]"
131,653,1356,5.0,1497203613,"[1374, 1372, 1376, 1375, 2393, 780, 329, 1210]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
132,655,587,5.0,841501391,"[597, 539, 500, 377, 454, 586, 590, 457]",0.8,0.5714285714285714,0.625,"[2, 0, 2, 1, 2, 0, 0, 2]"
133,669,296,5.0,864592876,"[593, 318, 47, 50, 356, 2959, 1089, 608]",1.0,0.375,0.375,"[2, 0, 0, 2, 2, 0, 0, 0]"
134,680,1136,5.0,940090112,"[1080, 1196, 1198, 1197, 260, 541, 1265, 1270]",1.0,0.25,0.25,"[2, 0, 0, 2, 0, 0, 0, 0]"
135,681,922,5.0,1322246026,"[3435, 1248, 1212, 926, 1252, 2186, 1284, 913]",1.0,0.125,0.125,"[2, 0, 0, 0, 0, 0, 0, 0]"
136,686,4228,5.0,992330142,"[4639, 4068, 3968, 4231, 4161, 4814, 4890, 4018]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
137,694,2391,5.0,945601609,"[1358, 1834, 1617, 1912, 1179, 1729, 2599, 2890]",1.0,0.375,0.375,"[0, 0, 2, 0, 2, 0, 2, 0]"
138,696,593,5.0,1267933615,"[296, 318, 356, 47, 50, 527, 480, 457]",1.0,0.625,0.625,"[2, 2, 2, 2, 0, 2, 0, 0]"
139,698,134853,5.0,1490712538,"[115617, 152081, 68954, 134130, 112852, 60069, 109487, 122904]",1.0,0.75,0.75,"[2, 2, 2, 2, 2, 0, 0, 2]"
140,703,590,5.0,840228703,"[150, 457, 592, 380, 349, 480, 110, 454]",0.75,1.0,1.0,"[2, 2, 2, 1, 2, 2, 2, 1]"
141,705,1197,5.0,1465227073,"[1198, 1196, 1136, 260, 1270, 1291, 1265, 2918]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
142,711,1198,5.0,1455656821,"[1291, 1196, 260, 1210, 1270, 2571, 1240, 1036]",1.0,0.375,0.375,"[0, 2, 2, 0, 0, 2, 0, 0]"
143,714,500,5.0,1140934046,"[597, 587, 586, 539, 377, 367, 364, 480]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
144,717,912,5.0,954502669,"[923, 904, 908, 913, 750, 1247, 903, 919]",1.0,0.5,0.5,"[0, 2, 0, 2, 0, 2, 0, 2]"
145,720,1293,5.0,1089436251,"[1225, 1231, 1299, 1960, 1957, 1185, 1247, 1204]",1.0,0.125,0.125,"[2, 0, 0, 0, 0, 0, 0, 0]"
146,721,1921,5.0,938953498,"[1748, 1206, 1653, 2997, 1199, 3949, 924, 1732]",0.6666666666666666,0.2857142857142857,0.375,"[0, 2, 0, 0, 1, 0, 2, 0]"
147,727,1148,5.0,1484946848,"[745, 1223, 720, 3751, 1136, 38038, 1080, 1198]",1.0,0.75,0.75,"[2, 2, 0, 2, 2, 2, 2, 0]"
148,737,527,5.0,1493002900,"[318, 593, 356, 296, 50, 110, 2028, 858]",0.8333333333333334,0.7142857142857143,0.75,"[2, 0, 1, 2, 2, 2, 0, 2]"
149,740,1213,5.0,1456736279,"[1221, 858, 1089, 296, 608, 50, 1208, 111]",0.7142857142857143,0.8333333333333334,0.875,"[2, 2, 1, 1, 0, 2, 2, 2]"
150,756,33794,5.0,1167673968,"[58559, 59315, 7153, 5952, 4993, 8961, 44191, 6539]",1.0,0.75,0.75,"[0, 0, 2, 2, 2, 2, 2, 2]"
151,757,3633,5.0,1184704027,"[3639, 3635, 2993, 2989, 3984, 2991, 4005, 3638]",0.5714285714285714,0.8,0.875,"[2, 1, 2, 1, 2, 2, 0, 1]"
152,775,60069,5.0,1460320451,"[68954, 58559, 50872, 59315, 79132, 72998, 8961, 78499]",0.5,0.6,0.75,"[2, 1, 2, 0, 2, 1, 1, 0]"
153,777,1291,5.0,1450465794,"[1198, 2115, 1196, 1210, 1036, 1270, 1240, 260]",1.0,0.625,0.625,"[2, 2, 2, 2, 0, 0, 0, 2]"
154,783,527,5.0,1488629857,"[318, 593, 356, 296, 50, 110, 2028, 858]",1.0,0.375,0.375,"[2, 0, 2, 2, 0, 0, 0, 0]"
155,784,1207,5.0,1535142245,"[953, 919, 912, 908, 1247, 904, 923, 1219]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
156,791,60069,5.0,1515192468,"[68954, 58559, 50872, 59315, 79132, 72998, 8961, 78499]",1.0,0.375,0.375,"[2, 0, 2, 0, 0, 0, 0, 2]"
157,795,2762,5.0,1263718785,"[2571, 2858, 2028, 3578, 2959, 1270, 4993, 1704]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
158,798,68358,5.0,1439944606,"[59315, 102445, 70286, 58559, 89745, 72998, 33794, 60069]",1.0,0.75,0.75,"[2, 2, 0, 2, 0, 2, 2, 2]"
